customer_id,age,gender,location,tenure_months,contract_type,monthly_charges,total_charges,data_usage_gb,call_minutes,support_tickets,internet_service,streaming_tv,streaming_movies,payment_method,churn
CUST_033566,52,Female,Suburban,72,Month-to-month,87.76,5895.12,148.6,24.0,4,DSL,Yes,No,Bank transfer,1
CUST_084587,50,Male,Suburban,27,Month-to-month,56.4,1646.65,65.2,1.0,0,Fiber optic,No,No,Credit card,1
CUST_075667,47,Male,Urban,9,Month-to-month,71.53,592.09,0.9,119.0,1,DSL,No,No,Electronic check,1
CUST_057746,49,Male,Urban,26,Two year,82.49,1732.42,51.5,70.0,1,Fiber optic,Yes,No,Electronic check,1
CUST_080307,34,Male,Suburban,21,Month-to-month,20.0,421.25,47.6,27.0,0,DSL,No,No,Credit card,1
CUST_094403,59,Male,Suburban,47,One year,44.07,1764.99,102.0,503.0,2,Fiber optic,No,No,Credit card,1
CUST_098799,41,Male,Suburban,16,Month-to-month,116.36,2092.62,7.1,347.0,2,Fiber optic,No,No,Electronic check,0
CUST_012226,23,Female,Suburban,12,Month-to-month,87.84,1235.04,34.8,291.0,1,Fiber optic,No,No,Credit card,0
CUST_002742,40,Female,Urban,19,One year,70.36,1168.34,176.9,413.0,5,Fiber optic,No,No,Electronic check,0
CUST_026521,42,Female,Urban,13,Month-to-month,55.4,701.75,24.3,318.0,3,Fiber optic,Yes,Yes,Credit card,0
CUST_075326,40,Female,Urban,5,One year,73.82,359.47,26.9,312.0,0,Fiber optic,No,Yes,Mailed check,1
CUST_048258,18,Female,Suburban,1,One year,30.73,28.02,159.8,63.0,2,Fiber optic,Yes,No,Electronic check,0
CUST_050969,53,Female,Urban,3,One year,94.1,250.43,45.7,370.0,2,DSL,No,No,Electronic check,1
CUST_058976,42,Male,Urban,12,Month-to-month,93.84,1013.55,31.1,34.0,2,No,Yes,No,Electronic check,1
CUST_026182,45,Female,Urban,24,Month-to-month,41.35,965.99,21.3,1231.0,1,DSL,No,No,Electronic check,1
CUST_048115,47,Male,Urban,42,Month-to-month,59.71,2670.79,71.7,31.0,0,DSL,Yes,Yes,Mailed check,1
CUST_075376,39,Male,Suburban,5,One year,49.01,205.34,2.4,213.0,1,No,Yes,No,Electronic check,1
CUST_078061,41,Male,Suburban,14,Two year,54.42,912.54,6.3,226.0,2,DSL,Yes,No,Electronic check,1
CUST_014638,32,Male,Urban,19,One year,80.91,1357.97,48.6,14.0,1,Fiber optic,Yes,No,Mailed check,1
CUST_061581,49,Male,Urban,4,Month-to-month,37.17,135.69,30.8,358.0,0,Fiber optic,No,Yes,Bank transfer,1
CUST_008449,43,Female,Suburban,23,Month-to-month,65.32,1499.06,70.9,4.0,4,Fiber optic,No,No,Electronic check,1
CUST_020294,37,Male,Suburban,27,Month-to-month,72.91,2246.46,33.2,623.0,3,Fiber optic,Yes,No,Electronic check,1
CUST_029956,57,Female,Rural,72,Two year,79.14,6177.68,143.7,200.0,4,DSL,No,Yes,Credit card,1
CUST_059182,41,Female,Rural,2,Month-to-month,54.61,107.47,44.0,448.0,4,Fiber optic,No,No,Electronic check,1
CUST_031263,40,Male,Rural,30,Two year,33.47,859.75,79.4,250.0,1,DSL,No,Yes,Credit card,1
CUST_035843,48,Male,Rural,3,Month-to-month,75.7,194.71,32.4,82.0,1,Fiber optic,No,No,Bank transfer,0
CUST_036606,52,Female,Urban,43,Month-to-month,73.71,3099.09,21.8,394.0,1,Fiber optic,Yes,Yes,Mailed check,1
CUST_062545,35,Female,Urban,38,Two year,93.23,3668.8,44.1,246.0,2,Fiber optic,Yes,No,Electronic check,1
CUST_010450,45,Male,Urban,3,Month-to-month,36.36,106.61,58.3,74.0,1,Fiber optic,No,No,Electronic check,1
CUST_065911,38,Male,Suburban,72,Two year,20.0,1663.01,82.0,151.0,2,No,No,No,Mailed check,0
CUST_083781,50,Male,Suburban,25,Two year,108.55,2757.66,99.5,34.0,1,Fiber optic,No,Yes,Credit card,1
CUST_002082,22,Male,Urban,30,Month-to-month,59.99,1830.6,17.5,76.0,4,DSL,Yes,Yes,Bank transfer,1
CUST_054318,46,Female,Urban,4,Two year,85.14,349.98,2.2,559.0,1,DSL,Yes,Yes,Electronic check,1
CUST_065687,36,Male,Urban,10,One year,20.0,177.35,136.5,174.0,1,Fiber optic,Yes,No,Mailed check,1
CUST_021706,52,Male,Urban,31,One year,81.37,2794.84,87.6,101.0,0,Fiber optic,Yes,Yes,Credit card,1
CUST_036574,22,Female,Suburban,16,Month-to-month,150.0,2156.78,27.7,649.0,0,No,Yes,Yes,Mailed check,1
CUST_063762,27,Female,Urban,11,Two year,32.58,294.13,7.5,281.0,0,No,No,Yes,Electronic check,1
CUST_074630,52,Male,Suburban,4,Month-to-month,33.79,156.07,64.3,385.0,2,Fiber optic,No,Yes,Mailed check,1
CUST_070372,50,Female,Urban,72,Month-to-month,80.9,5104.57,2.4,1406.0,1,DSL,Yes,Yes,Bank transfer,1
CUST_003818,35,Female,Suburban,23,Two year,44.0,1102.7,33.7,464.0,0,No,No,No,Bank transfer,1
CUST_028040,49,Female,Urban,64,One year,78.49,4325.5,4.7,510.0,0,No,Yes,No,Electronic check,0
CUST_075769,61,Male,Urban,13,One year,71.52,749.79,81.6,59.0,2,DSL,Yes,Yes,Electronic check,1
CUST_018228,50,Male,Urban,16,Month-to-month,73.15,1303.55,119.7,636.0,2,Fiber optic,No,No,Credit card,1
CUST_015296,32,Male,Suburban,8,Month-to-month,87.77,606.44,30.6,507.0,0,DSL,No,Yes,Mailed check,1
CUST_037083,25,Male,Urban,1,Two year,105.99,121.58,118.5,222.0,2,No,Yes,No,Electronic check,1
CUST_036208,65,Female,Suburban,24,One year,35.35,860.28,140.4,238.0,0,No,No,Yes,Electronic check,1
CUST_077122,31,Female,Urban,21,Month-to-month,131.74,2403.4,6.1,874.0,5,DSL,No,No,Electronic check,1
CUST_040160,18,Female,Urban,34,One year,46.27,1769.69,26.3,162.0,3,DSL,No,No,Electronic check,1
CUST_056738,32,Female,Urban,13,One year,62.4,922.85,8.0,150.0,1,Fiber optic,No,No,Credit card,1
CUST_009892,35,Male,Suburban,8,One year,30.45,237.93,145.2,262.0,2,DSL,No,No,Bank transfer,0
CUST_060488,36,Male,Urban,49,One year,67.71,2971.84,14.3,554.0,1,Fiber optic,Yes,No,Credit card,0
CUST_067266,56,Male,Suburban,38,Two year,73.42,3010.38,13.1,297.0,4,Fiber optic,No,Yes,Bank transfer,1
CUST_063955,43,Male,Urban,13,Month-to-month,61.05,898.13,75.8,271.0,1,DSL,No,No,Credit card,1
CUST_048970,30,Male,Urban,6,One year,26.63,161.38,24.5,149.0,1,Fiber optic,Yes,Yes,Bank transfer,0
CUST_085923,42,Male,Urban,36,Two year,72.68,2919.71,7.7,4.0,1,Fiber optic,No,Yes,Electronic check,1
CUST_072512,52,Female,Urban,27,Month-to-month,110.98,3485.11,74.8,444.0,2,DSL,Yes,No,Electronic check,1
CUST_010492,26,Male,Urban,10,Month-to-month,81.2,674.56,27.5,1602.0,0,Fiber optic,No,No,Bank transfer,1
CUST_031919,37,Male,Rural,4,Two year,98.7,346.41,0.9,33.0,1,DSL,No,Yes,Credit card,1
CUST_007336,39,Female,Suburban,18,Month-to-month,83.92,1429.51,79.9,417.0,1,No,No,No,Electronic check,1
CUST_050601,44,Female,Urban,58,Two year,62.99,3002.03,78.1,256.0,1,Fiber optic,No,No,Electronic check,1
CUST_073686,32,Male,Urban,8,Two year,78.28,723.8,56.0,22.0,0,No,Yes,Yes,Mailed check,1
CUST_062428,36,Female,Urban,40,Two year,58.72,2514.63,18.5,216.0,2,DSL,Yes,No,Electronic check,1
CUST_027347,52,Female,Urban,15,Month-to-month,50.38,607.57,72.2,3.0,2,Fiber optic,No,Yes,Electronic check,1
CUST_077290,24,Male,Urban,24,Month-to-month,61.86,1444.05,56.0,1305.0,2,DSL,No,No,Credit card,1
CUST_058266,35,Male,Suburban,12,Two year,116.46,1573.49,67.2,92.0,1,Fiber optic,Yes,No,Mailed check,1
CUST_049266,46,Female,Urban,7,One year,83.37,584.38,94.0,15.0,3,Fiber optic,Yes,Yes,Electronic check,1
CUST_033114,61,Male,Urban,24,Two year,79.94,2283.66,104.7,57.0,2,Fiber optic,No,Yes,Credit card,1
CUST_090804,22,Male,Urban,45,Month-to-month,37.12,1817.65,216.9,400.0,2,DSL,No,Yes,Mailed check,0
CUST_000209,80,Male,Urban,72,One year,54.12,4648.81,22.4,160.0,1,DSL,Yes,No,Electronic check,1
CUST_041178,27,Male,Urban,9,Month-to-month,104.37,751.93,45.0,681.0,1,Fiber optic,No,Yes,Electronic check,1
CUST_088123,40,Female,Urban,72,One year,108.3,8810.19,42.1,180.0,1,Fiber optic,No,No,Electronic check,1
CUST_017232,26,Female,Urban,72,Month-to-month,74.56,4354.79,22.0,346.0,2,Fiber optic,No,Yes,Bank transfer,1
CUST_099358,54,Female,Urban,36,Month-to-month,45.38,1750.48,11.7,97.0,3,DSL,Yes,No,Mailed check,1
CUST_053496,56,Female,Suburban,1,Month-to-month,20.0,20.41,19.8,44.0,2,DSL,No,No,Credit card,0
CUST_013949,46,Female,Suburban,20,Two year,68.36,1496.33,17.4,171.0,2,DSL,No,No,Electronic check,1
CUST_079715,54,Female,Urban,21,Month-to-month,25.68,451.61,0.3,503.0,1,Fiber optic,No,No,Credit card,1
CUST_055678,22,Male,Suburban,12,One year,31.28,326.92,25.4,142.0,2,No,No,Yes,Credit card,1
CUST_030764,37,Male,Suburban,55,Month-to-month,53.6,3158.58,32.6,76.0,3,DSL,No,No,Electronic check,1
CUST_095109,46,Female,Urban,5,Two year,41.46,192.84,7.9,281.0,0,DSL,No,No,Electronic check,1
CUST_025504,42,Male,Suburban,15,Month-to-month,103.11,1734.31,13.0,481.0,2,Fiber optic,Yes,No,Electronic check,1
CUST_059140,37,Male,Urban,7,Month-to-month,41.94,246.08,7.5,31.0,1,Fiber optic,No,Yes,Credit card,1
CUST_093417,37,Female,Suburban,44,Month-to-month,88.17,3301.72,34.2,498.0,2,DSL,No,No,Credit card,1
CUST_094985,44,Male,Urban,46,One year,59.48,2516.1,17.5,126.0,0,Fiber optic,Yes,Yes,Bank transfer,1
CUST_068944,61,Female,Urban,20,One year,94.57,2159.41,20.3,123.0,2,Fiber optic,No,Yes,Electronic check,1
CUST_012724,48,Female,Urban,36,Month-to-month,56.22,1836.95,27.2,237.0,1,No,Yes,No,Credit card,1
CUST_078501,37,Female,Urban,3,Month-to-month,73.5,257.21,28.9,403.0,1,DSL,No,Yes,Electronic check,1
CUST_027535,18,Male,Suburban,12,Month-to-month,55.26,744.88,15.0,678.0,3,No,No,Yes,Electronic check,1
CUST_055091,39,Male,Suburban,17,Month-to-month,62.48,1174.86,24.1,139.0,4,DSL,No,Yes,Electronic check,1
CUST_030972,57,Female,Urban,5,One year,120.15,716.53,100.5,72.0,1,Fiber optic,No,No,Credit card,1
CUST_098296,60,Female,Rural,3,One year,54.77,142.61,29.5,24.0,1,Fiber optic,No,No,Credit card,1
CUST_065630,18,Female,Rural,5,Two year,43.04,217.75,29.3,101.0,4,DSL,No,No,Electronic check,0
CUST_040332,19,Male,Rural,2,One year,71.07,132.59,275.9,142.0,1,Fiber optic,No,Yes,Bank transfer,0
CUST_028770,59,Male,Suburban,1,Two year,97.06,112.05,183.2,332.0,0,DSL,No,Yes,Electronic check,1
CUST_004731,39,Female,Urban,1,Month-to-month,33.63,35.01,233.7,503.0,4,DSL,No,No,Electronic check,1
CUST_089729,34,Male,Rural,3,Two year,57.73,166.35,162.1,209.0,1,DSL,No,No,Bank transfer,0
CUST_022052,56,Male,Suburban,20,One year,106.79,2311.75,8.2,103.0,5,Fiber optic,No,No,Electronic check,0
CUST_045399,38,Female,Urban,14,Month-to-month,55.46,903.66,2.6,117.0,2,DSL,No,No,Electronic check,0
CUST_081154,67,Female,Rural,72,Two year,47.22,4044.93,6.0,36.0,2,Fiber optic,No,No,Credit card,1
CUST_024097,57,Male,Urban,33,One year,87.56,3341.75,77.6,687.0,0,DSL,Yes,Yes,Mailed check,1
CUST_082471,44,Male,Urban,8,Two year,47.07,350.98,11.4,162.0,2,No,No,Yes,Electronic check,1
CUST_082944,47,Male,Urban,45,Two year,53.05,2076.11,26.5,377.0,3,Fiber optic,Yes,No,Electronic check,1
CUST_090441,43,Female,Rural,2,One year,82.67,155.6,52.5,249.0,0,Fiber optic,Yes,No,Credit card,1
CUST_034889,21,Male,Suburban,7,Month-to-month,91.58,612.63,14.0,15.0,3,No,No,Yes,Credit card,0
CUST_038293,43,Male,Urban,49,One year,51.0,2369.83,5.5,301.0,0,DSL,No,No,Mailed check,1
CUST_080814,38,Male,Urban,72,One year,20.0,1182.8,85.2,179.0,1,No,No,Yes,Electronic check,1
CUST_086090,44,Female,Suburban,1,Month-to-month,71.86,85.19,46.4,71.0,0,No,No,No,Credit card,1
CUST_036767,43,Female,Suburban,1,Month-to-month,25.62,22.51,55.0,355.0,0,DSL,Yes,No,Electronic check,1
CUST_017490,18,Female,Urban,5,Two year,63.48,333.64,112.2,137.0,1,DSL,Yes,No,Bank transfer,1
CUST_074677,45,Female,Suburban,31,Two year,62.43,1638.92,0.7,522.0,0,Fiber optic,No,No,Bank transfer,1
CUST_089680,29,Male,Urban,9,One year,54.73,447.4,73.5,107.0,2,DSL,Yes,No,Mailed check,1
CUST_071862,42,Female,Rural,1,Month-to-month,51.66,57.84,0.8,289.0,3,DSL,Yes,No,Credit card,0
CUST_079916,68,Female,Urban,4,One year,31.2,114.01,88.2,67.0,0,Fiber optic,Yes,Yes,Credit card,0
CUST_092889,40,Female,Urban,43,Month-to-month,65.31,2686.93,66.3,423.0,1,DSL,No,Yes,Bank transfer,0
CUST_090581,32,Male,Rural,64,Month-to-month,85.11,5749.79,29.0,539.0,0,Fiber optic,Yes,No,Mailed check,1
CUST_033904,18,Male,Rural,47,Two year,76.51,4013.7,33.8,131.0,0,DSL,No,No,Bank transfer,0
CUST_093879,32,Male,Urban,36,Two year,34.3,1365.61,8.3,149.0,0,DSL,Yes,No,Electronic check,1
CUST_026381,26,Male,Rural,14,Month-to-month,75.63,920.8,40.2,40.0,3,Fiber optic,No,No,Credit card,1
CUST_096285,32,Female,Suburban,16,Month-to-month,99.89,1488.22,71.4,1014.0,1,DSL,No,No,Bank transfer,0
CUST_004750,53,Female,Urban,28,One year,60.87,1972.38,76.3,570.0,0,Fiber optic,No,No,Mailed check,0
CUST_007190,41,Female,Suburban,34,Month-to-month,76.98,2787.54,110.6,1.0,2,Fiber optic,No,No,Electronic check,0
CUST_089327,44,Female,Suburban,72,One year,21.25,1329.29,7.2,313.0,2,DSL,No,No,Electronic check,1
CUST_092205,41,Male,Urban,13,Month-to-month,83.17,1061.64,112.4,177.0,2,Fiber optic,No,No,Electronic check,1
CUST_084197,34,Male,Rural,12,Two year,61.52,818.82,21.2,228.0,1,Fiber optic,No,No,Bank transfer,1
CUST_042849,21,Male,Urban,24,Month-to-month,24.89,656.63,38.9,1155.0,0,No,Yes,No,Bank transfer,1
CUST_037587,18,Male,Urban,6,Month-to-month,70.71,416.17,79.3,50.0,1,Fiber optic,No,Yes,Bank transfer,1
CUST_055875,46,Female,Urban,29,One year,59.75,1717.25,129.7,62.0,1,Fiber optic,Yes,No,Mailed check,0
CUST_014347,18,Female,Urban,28,Two year,47.76,1571.55,27.0,463.0,0,No,No,No,Electronic check,1
CUST_026939,47,Male,Suburban,72,One year,62.84,4228.61,17.4,600.0,0,DSL,No,Yes,Electronic check,1
CUST_004843,38,Female,Urban,41,Month-to-month,89.06,4181.69,31.3,95.0,1,DSL,Yes,Yes,Electronic check,1
CUST_006194,18,Female,Urban,20,One year,54.18,1198.37,7.7,1065.0,1,Fiber optic,No,Yes,Mailed check,1
CUST_046153,41,Male,Rural,12,One year,92.08,1068.07,149.8,698.0,1,No,Yes,No,Mailed check,1
CUST_053388,64,Female,Urban,47,One year,53.74,3023.5,36.7,28.0,0,No,Yes,No,Electronic check,1
CUST_000606,30,Male,Suburban,4,One year,51.91,207.7,181.7,37.0,1,DSL,No,Yes,Credit card,1
